Sort,Year,COUNTY,CountyFIPS,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Early_Syphilis_Count,Early_Syphilis_Rate,Early_Syphilis_RankByCount,Early_Syphilis_RankByRate
59,2008,MC HENRY,17111,317,121.9,19,80,25,9.6,30,79,0,0,11,22
60,2008,MC LEAN,17113,665,442.1,14,16,212,140.9,14,16,3,2,8,15
65,2008,MENARD,17129,21,168.2,66,56,8,64.1,43,31,0,0,11,22
66,2008,MERCER,17131,24,141.5,63,69,3,17.7,48,61,0,0,11,22
67,2008,MONROE,17133,44,159.3,52,61,4,14.5,47,67,1,3.6,10,10
68,2008,MONTGOMERY,17135,60,195.7,43,45,5,16.3,46,65,0,0,11,22
69,2008,MORGAN,17137,151,412.4,28,17,42,114.7,24,19,0,0,11,22
70,2008,MOULTRIE,17139,17,119,70,82,5,35,46,42,0,0,11,22
71,2008,OGLE,17141,108,211.6,33,42,16,31.4,36,43,1,2,10,15
72,2008,PEORIA,17143,1417,772.5,8,5,780,425.2,3,2,1,0.5,10,21
73,2008,PERRY,17145,42,181.9,53,50,14,60.6,37,32,0,0,11,22
74,2008,PIATT,17147,24,146.7,63,64,3,18.3,48,59,0,0,11,22
75,2008,PIKE,17149,19,109.3,68,87,2,11.5,49,75,0,0,11,22
76,2008,POPE,17151,45,1019.7,50,2,12,271.9,39,6,0,0,11,22
77,2008,PULASKI,17153,45,612.4,51,9,19,258.6,34,9,0,0,11,22
78,2008,PUTNAM,17155,2,32.9,81,101,0,0,51,91,0,0,11,22
79,2008,RANDOLPH,17157,90,265.5,37,33,22,64.9,32,30,0,0,11,22
80,2008,RICHLAND,17159,10,61.9,76,97,1,6.2,50,86,0,0,11,22
81,2008,ROCK ISLAND,17161,744,498.1,12,14,211,141.3,15,15,3,2,8,15
84,2008,SALINE,17165,66,246.9,42,36,14,52.4,37,35,0,0,11,22
85,2008,SANGAMON,17167,1129,597.5,10,10,618,327.1,5,4,1,0.5,10,21
86,2008,SCHUYLER,17169,8,111.3,77,84,1,13.9,50,68,0,0,11,22
87,2008,SCOTT,17171,6,108.4,79,88,2,36.1,49,41,0,0,11,22
82,2008,SHELBY,17173,22,96.1,65,93,7,30.6,44,45,0,0,11,22
83,2008,ST. CLAIR,17163,2284,891.9,3,3,911,355.7,2,3,15,5.9,3,2
88,2008,STARK,17175,7,110.5,78,86,0,0,51,91,0,0,11,22
89,2008,STEPHENSON,17177,193,394,23,18,123,251.1,17,10,0,0,11,22
90,2008,TAZEWELL,17179,216,168.1,21,57,36,28,25,50,1,0.8,10,20
91,2008,UNION,17181,23,125.7,64,78,2,10.9,49,76,1,5.5,10,4
92,2008,VERMILION,17183,496,591,17,11,218,259.8,13,8,0,0,11,22
93,2008,WABASH,17185,18,139.1,69,72,0,0,51,91,0,0,11,22
94,2008,WARREN,17187,39,208.2,56,43,5,26.7,46,52,0,0,11,22
95,2008,WASHINGTON,17189,27,178.2,62,52,4,26.4,47,53,0,0,11,22
96,2008,WAYNE,17191,22,128.3,65,77,3,17.5,48,62,0,0,11,22
97,2008,WHITE,17193,17,110.6,70,85,1,6.5,50,84,0,0,11,22
98,2008,WHITESIDE,17195,165,272,26,32,36,59.4,25,33,0,0,11,22
99,2008,WILL,17197,1666,331.7,4,24,394,78.4,7,25,12,2.4,4,14
100,2008,WILLIAMSON,17199,149,243.1,29,37,31,50.6,27,36,0,0,11,22
101,2008,WINNEBAGO,17201,1540,553.1,6,12,737,264.7,4,7,8,2.9,5,13
102,2008,WOODFORD,17203,49,138.1,47,74,6,16.9,45,63,0,0,11,22
1,2009,ADAMS,17001,214,313.4,25,30,72,105.5,19,18,0,0,14,28
2,2009,ALEXANDER,17003,87,907.2,39,2,24,250.3,29,6,0,0,14,28
3,2009,BOND,17005,41,232.5,51,45,1,5.7,48,74,0,0,14,28
4,2009,BOONE,17007,116,277.6,34,37,14,33.5,35,37,0,0,14,28
5,2009,BROWN,17009,18,259,67,39,3,43.2,46,33,2,28.8,12,1
6,2009,BUREAU,17011,32,90.1,56,92,5,14.1,44,59,1,2.8,13,17
7,2009,CALHOUN,17013,3,59,77,98,2,39.3,47,33,0,0,14,28
8,2009,CARROLL,17015,26,155.9,61,70,0,0,49,77,0,0,14,28
9,2009,CASS,17017,26,189.9,61,55,2,14.6,47,58,0,0,14,28
10,2009,CHAMPAIGN,17019,1252,696.8,9,6,324,180.3,8,12,8,4.5,7,12
11,2009,CHRISTIAN,17021,67,189.4,42,57,9,25.4,40,47,0,0,14,28
12,2009,CLARK,17023,24,141.1,63,78,0,0,49,77,0,0,14,28
13,2009,CLAY,17025,20,137.4,65,79,2,13.7,47,60,0,0,14,28
14,2009,CLINTON,17027,48,135.1,49,80,11,31,38,41,0,0,14,28
15,2009,COLES,17029,261,490.6,21,13,41,77.1,23,22,0,0,14,28
16,2009,COOK,17031,35531,660.8,1,7,13330,247.9,1,7,914,17,1,2
17,2009,CRAWFORD,17033,26,127.1,61,83,2,9.8,47,67,2,9.8,12,5
18,2009,CUMBERLAND,17035,12,106.6,71,90,5,44.4,44,33,0,0,14,28
19,2009,DEKALB,17037,406,456.3,18,17,71,79.8,20,21,4,4.5,10,12
20,2009,DE WITT,17039,27,160.7,60,68,2,11.9,47,66,0,0,14,28
21,2009,DOUGLAS,17041,31,155.6,57,71,5,25.1,44,48,0,0,14,28
22,2009,DU PAGE,17043,1555,172,5,62,225,24.9,12,49,33,3.6,2,15
23,2009,EDGAR,17045,24,121.8,63,86,0,0,49,77,0,0,14,28
24,2009,EDWARDS,17047,3,43,77,101,0,0,49,77,0,0,14,28
25,2009,EFFINGHAM,17049,71,207.2,41,51,2,5.8,47,73,0,0,14,28
26,2009,FAYETTE,17051,38,174.3,53,61,1,4.6,48,76,0,0,14,28
27,2009,FORD,17053,31,217.7,57,49,1,7,48,71,0,0,14,28
28,2009,FRANKLIN,17055,116,297.3,34,32,11,28.2,38,42,0,0,14,28
29,2009,FULTON,17057,63,164.7,44,65,5,13.1,44,63,0,0,14,28
30,2009,GALLATIN,17059,5,77.6,75,94,0,0,49,77,0,0,14,28
31,2009,GREENE,17061,28,189.7,59,56,3,20.3,46,51,0,0,14,28
32,2009,GRUNDY,17063,61,162.5,45,67,2,5.3,47,75,0,0,14,28
33,2009,HAMILTON,17065,3,34.8,77,102,4,46.4,45,32,0,0,14,28
34,2009,HANCOCK,17067,13,64.6,70,97,0,0,49,77,0,0,14,28
35,2009,HARDIN,17069,9,187.5,74,59,0,0,49,77,0,0,14,28
36,2009,HENDERSON,17071,14,170.5,69,63,0,0,49,77,0,0,14,28
37,2009,HENRY,17073,115,225.4,35,46,10,19.6,39,52,0,0,14,28
38,2009,IROQUOIS,17075,25,79.8,62,93,4,12.8,45,64,0,0,14,28
39,2009,JACKSON,17077,536,899.1,15,3,113,189.6,16,10,6,10.1,8,4
40,2009,JASPER,17079,11,108.7,72,89,0,0,49,77,0,0,14,28
41,2009,JEFFERSON,17081,140,349.6,30,23,47,117.4,22,16,0,0,14,28
42,2009,JERSEY,17083,39,180,52,60,4,18.5,45,53,1,4.6,13,11
43,2009,JO DAVIESS,17085,33,148.1,55,73,2,9,47,68,0,0,14,28
44,2009,JOHNSON,17087,31,240.7,57,43,1,7.8,48,70,2,15.5,12,3
45,2009,KANE,17089,1419,351.1,8,22,229,56.7,11,28,6,1.5,8,23
46,2009,KANKAKEE,17091,482,464.2,16,16,200,192.6,13,9,2,1.9,12,20
47,2009,KENDALL,17093,161,295.2,28,33,23,42.2,30,33,0,0,14,28
48,2009,KNOX,17095,223,399.4,24,19,93,166.6,18,13,1,1.8,13,21
50,2009,LA SALLE,17099,246,220.6,22,47,30,26.9,26,45,1,0.9,13,24
49,2009,LAKE,17097,2150,333.7,3,27,440,68.3,6,25,21,3.3,4,16
51,2009,LAWRENCE,17101,15,97.1,68,91,0,0,49,77,0,0,14,28
52,2009,LEE,17103,102,282.8,36,36,15,41.6,34,33,0,0,14,28
53,2009,LIVINGSTON,17105,118,297.4,33,31,18,45.4,31,33,0,0,14,28
54,2009,LOGAN,17107,120,384.8,32,20,28,89.8,27,19,0,0,14,28
61,2009,MACON,17115,686,598.1,13,9,307,267.6,9,3,3,2.6,11,19
62,2009,MACOUPIN,17117,64,130.6,43,81,6,12.2,43,65,0,0,14,28
63,2009,MADISON,17119,965,372.7,11,21,170,65.7,14,26,4,1.5,10,23
64,2009,MARION,17121,141,338.2,29,25,16,38.4,33,33,2,4.8,12,10
55,2009,MARSHALL,17123,29,220,58,48,2,15.2,47,57,0,0,14,28
56,2009,MASON,17125,38,236.9,53,44,5,31.2,44,40,0,0,14,28
57,2009,MASSAC,17127,52,343,47,24,8,52.8,41,29,1,6.6,13,8
58,2009,MC DONOUGH,17109,96,291.7,37,34,12,36.5,37,34,0,0,14,28
59,2009,MC HENRY,17111,338,130,19,82,35,13.5,25,61,2,0.8,12,25
60,2009,MC LEAN,17113,626,416.1,14,18,104,69.1,17,24,1,0.7,13,26
65,2009,MENARD,17129,19,152.2,66,72,10,80.1,39,20,0,0,14,28
66,2009,MERCER,17131,24,141.5,63,76,6,35.4,43,35,0,0,14,28
67,2009,MONROE,17133,39,141.2,52,77,5,18.1,44,54,0,0,14,28
68,2009,MONTGOMERY,17135,89,290.4,38,35,8,26.1,41,46,0,0,14,28
69,2009,MORGAN,17137,118,322.3,33,28,17,46.4,32,32,1,2.7,13,18
70,2009,MOULTRIE,17139,27,189,60,58,4,28,45,43,0,0,14,28
71,2009,OGLE,17141,130,254.7,31,40,14,27.4,35,44,0,0,14,28
72,2009,PEORIA,17143,1456,793.8,7,5,660,359.8,4,2,1,0.5,13,27
73,2009,PERRY,17145,46,199.2,50,52,11,47.6,38,31,1,4.3,13,13
74,2009,PIATT,17147,19,116.1,66,87,8,48.9,41,30,0,0,14,28
75,2009,PIKE,17149,22,126.6,64,85,4,23,45,50,0,0,14,28
76,2009,POPE,17151,51,1155.7,48,1,7,158.6,42,14,0,0,14,28
77,2009,PULASKI,17153,35,476.3,54,15,10,136.1,39,15,0,0,14,28
78,2009,PUTNAM,17155,3,49.3,77,100,1,16.4,48,56,0,0,14,28
79,2009,RANDOLPH,17157,83,244.9,40,42,13,38.4,36,33,0,0,14,28
80,2009,RICHLAND,17159,11,68.1,72,96,1,6.2,48,72,0,0,14,28
81,2009,ROCK ISLAND,17161,785,525.5,12,11,306,204.9,10,8,5,3.3,9,16
84,2009,SALINE,17165,53,198.3,46,53,9,33.7,40,36,1,3.7,13,14
85,2009,SANGAMON,17167,1223,647.3,10,8,702,371.5,2,1,0,0,14,28
86,2009,SCHUYLER,17169,18,250.4,67,41,0,0,49,77,0,0,14,28
87,2009,SCOTT,17171,4,72.2,76,95,1,18.1,48,54,0,0,14,28
82,2009,SHELBY,17173,29,126.7,58,84,2,8.7,47,69,0,0,14,28
83,2009,ST. CLAIR,17163,2255,880.6,2,4,659,257.3,5,4,20,7.8,5,6
88,2009,STARK,17175,9,142.1,74,75,2,31.6,47,39,0,0,14,28
89,2009,STEPHENSON,17177,238,485.9,23,14,54,110.3,21,17,0,0,14,28
90,2009,TAZEWELL,17179,273,212.5,20,50,36,28,24,43,1,0.8,13,25
91,2009,UNION,17181,35,191.3,54,54,6,32.8,43,38,0,0,14,28
92,2009,VERMILION,17183,413,492.1,17,12,158,188.3,15,11,6,7.1,8,7
93,2009,WABASH,17185,19,146.9,66,74,6,46.4,43,32,0,0,14,28
94,2009,WARREN,17187,31,165.5,57,64,0,0,49,77,0,0,14,28
95,2009,WASHINGTON,17189,24,158.4,63,69,2,13.2,47,62,1,6.6,13,8
96,2009,WAYNE,17191,10,58.3,73,99,3,17.5,46,55,0,0,14,28
97,2009,WHITE,17193,25,162.6,62,66,0,0,49,77,0,0,14,28
98,2009,WHITESIDE,17195,192,316.6,26,29,27,44.5,28,33,0,0,14,28
99,2009,WILL,17197,1690,336.5,4,26,367,73.1,7,23,23,4.6,3,11
100,2009,WILLIAMSON,17199,167,272.4,27,38,35,57.1,25,27,1,1.6,13,22
101,2009,WINNEBAGO,17201,1533,550.6,6,10,698,250.7,3,5,16,5.7,6,9
102,2009,WOODFORD,17203,41,115.6,51,88,9,25.4,40,47,0,0,14,28
1,2010,ADAMS,17001,178,265.3,27,37,19,28.3,29,50,0,0,13,31
2,2010,ALEXANDER,17003,73,886.1,43,3,28,339.9,27,1,0,0,13,31
3,2010,BOND,17005,42,236.4,54,43,5,28.1,42,51,0,0,13,31
4,2010,BOONE,17007,87,160.6,39,74,9,16.6,38,64,0,0,13,31
5,2010,BROWN,17009,5,72.1,76,101,1,14.4,46,65,1,14.4,12,3
6,2010,BUREAU,17011,65,185.8,48,61,4,11.4,43,71,0,0,13,31
7,2010,CALHOUN,17013,2,39.3,77,102,0,0,47,87,0,0,13,31
8,2010,CARROLL,17015,26,169,63,69,1,6.5,46,78,0,0,13,31
9,2010,CASS,17017,44,322.5,52,28,3,22,44,56,0,0,13,31
10,2010,CHAMPAIGN,17019,1263,628.1,9,9,304,151.2,7,10,5,2.5,9,20
11,2010,CHRISTIAN,17021,82,235.6,41,45,13,37.4,34,39,0,0,13,31
12,2010,CLARK,17023,23,140.8,64,82,2,12.2,45,69,0,0,13,31
13,2010,CLAY,17025,14,101.3,70,94,1,7.2,46,77,1,7.2,12,7
14,2010,CLINTON,17027,66,174.8,47,66,14,37.1,33,40,0,0,13,31
15,2010,COLES,17029,264,490,21,13,35,65,23,23,0,0,13,31
16,2010,COOK,17031,34664,667.3,1,8,10123,194.9,1,6,1228,23.6,1,1
17,2010,CRAWFORD,17033,26,131.2,63,86,0,0,47,87,0,0,13,31
18,2010,CUMBERLAND,17035,15,135.8,69,85,4,36.2,43,41,0,0,13,31
19,2010,DEKALB,17037,456,433.6,17,17,85,80.8,17,19,3,2.9,10,17
20,2010,DE WITT,17039,28,169.1,61,68,3,18.1,44,61,0,0,13,31
21,2010,DOUGLAS,17041,31,155.2,58,77,1,5,46,82,0,0,13,31
22,2010,DU PAGE,17043,1542,168.2,7,70,223,24.3,11,53,25,2.7,4,19
23,2010,EDGAR,17045,35,188.4,55,60,4,21.5,43,58,0,0,13,31
24,2010,EDWARDS,17047,8,119,73,91,0,0,47,87,0,0,13,31
25,2010,EFFINGHAM,17049,52,151.9,49,79,7,20.4,40,60,0,0,13,31
26,2010,FAYETTE,17051,43,194.2,53,57,1,4.5,46,83,2,9,11,5
27,2010,FORD,17053,26,184.6,63,63,8,56.8,39,28,0,0,13,31
28,2010,FRANKLIN,17055,146,369.1,30,20,15,37.9,32,38,1,2.5,12,20
29,2010,FULTON,17057,71,191.5,44,58,3,8.1,44,75,0,0,13,31
30,2010,GALLATIN,17059,11,196.8,72,56,0,0,47,87,0,0,13,31
31,2010,GREENE,17061,22,158.4,65,75,3,21.6,44,57,0,0,13,31
32,2010,GRUNDY,17063,49,97.9,50,97,2,4,45,85,1,2,12,23
33,2010,HAMILTON,17065,11,130.1,72,88,2,23.6,45,54,0,0,13,31
34,2010,HANCOCK,17067,28,146.6,61,80,1,5.2,46,81,0,0,13,31
35,2010,HARDIN,17069,7,162,74,73,0,0,47,87,0,0,13,31
36,2010,HENDERSON,17071,15,204.6,69,52,1,13.6,46,66,0,0,13,31
37,2010,HENRY,17073,100,198.1,35,54,15,29.7,32,49,0,0,13,31
38,2010,IROQUOIS,17075,27,90.9,62,99,1,3.4,46,86,0,0,13,31
39,2010,JACKSON,17077,698,1159.1,15,1,113,187.7,16,7,1,1.7,12,25
40,2010,JASPER,17079,14,144.4,70,81,0,0,47,87,0,0,13,31
41,2010,JEFFERSON,17081,127,327.1,33,26,47,121,20,14,2,5.2,11,10
42,2010,JERSEY,17083,23,100.1,64,95,2,8.7,45,73,0,0,13,31
43,2010,JO DAVIESS,17085,21,92.6,66,98,1,4.4,46,84,0,0,13,31
44,2010,JOHNSON,17087,23,182.8,64,64,1,7.9,46,76,2,15.9,11,2
45,2010,KANE,17089,1418,275.2,8,35,208,40.4,12,36,11,2.1,6,22
46,2010,KANKAKEE,17091,546,481.3,16,15,202,178.1,13,9,2,1.8,11,24
47,2010,KENDALL,17093,158,137.7,28,83,31,27,25,52,0,0,13,31
48,2010,KNOX,17095,205,387.4,24,19,31,58.6,25,26,2,3.8,11,14
50,2010,LA SALLE,17099,254,223,22,48,13,11.4,34,71,2,1.8,11,24
49,2010,LAKE,17097,1986,282.3,3,32,301,42.8,8,33,28,4,3,13
51,2010,LAWRENCE,17101,30,178.2,59,65,2,11.9,45,70,1,5.9,12,9
52,2010,LEE,17103,87,241.5,39,42,12,33.3,35,44,0,0,13,31
53,2010,LIVINGSTON,17105,132,338.9,32,24,17,43.6,31,32,2,5.1,11,11
54,2010,LOGAN,17107,104,343.2,34,23,32,105.6,24,17,0,0,13,31
61,2010,MACON,17115,764,689.7,13,6,243,219.4,10,5,1,0.9,12,30
62,2010,MACOUPIN,17117,91,190.5,38,59,15,31.4,32,45,0,0,13,31
63,2010,MADISON,17119,987,366.5,11,21,195,72.4,14,21,8,3,7,16
64,2010,MARION,17121,142,360.1,31,22,18,45.6,30,30,1,2.5,12,20
55,2010,MARSHALL,17123,22,174.1,65,67,0,0,47,87,0,0,13,31
56,2010,MASON,17125,34,231.8,56,46,5,34.1,42,42,0,0,13,31
57,2010,MASSAC,17127,35,226.8,55,47,9,58.3,38,27,0,0,13,31
58,2010,MC DONOUGH,17109,97,297.4,37,31,11,33.7,36,43,0,0,13,31
59,2010,MC HENRY,17111,394,127.6,19,90,29,9.4,26,72,3,1,10,29
60,2010,MC LEAN,17113,786,463.5,12,16,192,113.2,15,16,3,1.8,10,24
65,2010,MENARD,17129,31,244,58,41,15,118.1,32,15,1,7.9,12,6
66,2010,MERCER,17131,35,213,55,51,2,12.2,45,69,0,0,13,31
67,2010,MONROE,17133,29,88,60,100,0,0,47,87,2,6.1,11,8
68,2010,MONTGOMERY,17135,67,222.6,46,49,5,16.6,42,64,0,0,13,31
69,2010,MORGAN,17137,98,275.7,36,34,11,30.9,36,47,1,2.8,12,18
70,2010,MOULTRIE,17139,23,154.9,64,78,2,13.5,45,67,0,0,13,31
71,2010,OGLE,17141,147,274.8,29,36,3,5.6,44,80,0,0,13,31
72,2010,PEORIA,17143,1704,913.7,5,2,519,278.3,4,2,3,1.6,10,26
73,2010,PERRY,17145,68,304.3,45,30,17,76.1,31,20,1,4.5,12,12
74,2010,PIATT,17147,26,155.4,63,76,5,29.9,42,48,0,0,13,31
75,2010,PIKE,17149,27,164.3,62,72,2,12.2,45,69,0,0,13,31
76,2010,POPE,17151,32,715.9,57,5,3,67.1,44,22,0,0,13,31
77,2010,PULASKI,17153,42,681.7,54,7,8,129.8,39,13,0,0,13,31
78,2010,PUTNAM,17155,6,99.9,75,96,1,16.7,46,63,0,0,13,31
79,2010,RANDOLPH,17157,83,247.9,40,40,15,44.8,32,31,0,0,13,31
80,2010,RICHLAND,17159,19,117,68,92,1,6.2,46,79,0,0,13,31
81,2010,ROCK ISLAND,17161,719,487.3,14,14,270,183,9,8,2,1.4,11,28
84,2010,SALINE,17165,80,321.1,42,29,10,40.1,37,37,0,0,13,31
85,2010,SANGAMON,17167,1199,607.2,10,10,535,270.9,3,3,0,0,13,31
86,2010,SCHUYLER,17169,14,185.6,70,62,0,0,47,87,0,0,13,31
87,2010,SCOTT,17171,7,130.7,74,87,0,0,47,87,0,0,13,31
82,2010,SHELBY,17173,29,129.7,60,89,3,13.4,44,68,0,0,13,31
83,2010,ST. CLAIR,17163,2313,856.5,2,4,617,228.5,2,4,30,11.1,2,4
88,2010,STARK,17175,13,216.9,71,50,1,16.7,46,63,0,0,13,31
89,2010,STEPHENSON,17177,202,423.4,25,18,64,134.1,19,12,1,2.1,12,22
90,2010,TAZEWELL,17179,379,279.9,20,33,42,31,21,46,0,0,13,31
91,2010,UNION,17181,42,235.8,54,44,4,22.5,43,55,0,0,13,31
92,2010,VERMILION,17183,439,537.8,18,11,83,101.7,18,18,2,2.5,11,20
93,2010,WABASH,17185,20,167.4,67,71,1,8.4,46,74,0,0,13,31
94,2010,WARREN,17187,46,259.8,51,39,3,16.9,44,62,0,0,13,31
95,2010,WASHINGTON,17189,30,203.9,59,53,6,40.8,41,35,0,0,13,31
96,2010,WAYNE,17191,23,137.2,64,84,10,59.7,37,25,0,0,13,31
97,2010,WHITE,17193,29,197.7,60,55,0,0,47,87,0,0,13,31
98,2010,WHITESIDE,17195,196,335.1,26,25,24,41,28,34,0,0,13,31
99,2010,WILL,17197,1791,264.3,4,38,375,55.3,6,29,23,3.4,5,15
100,2010,WILLIAMSON,17199,215,324,23,27,40,60.3,22,24,1,1.5,12,27
101,2010,WINNEBAGO,17201,1580,535.1,6,12,401,135.8,5,11,7,2.4,8,21
102,2010,WOODFORD,17203,44,113.8,52,93,8,20.7,39,59,0,0,13,31
1,2011,ADAMS,17001,223,332.3,24,32,45,67.1,19,26,0,0,15,33
2,2011,ALEXANDER,17003,88,1068.2,43,3,17,206.4,32,7,0,0,15,33
3,2011,BOND,17005,53,298.3,55,41,3,16.9,45,68,0,0,15,33
4,2011,BOONE,17007,114,210.5,36,66,6,11.1,42,77,2,3.7,13,21
5,2011,BROWN,17009,12,173,80,84,2,28.8,46,51,3,43.2,12,1
6,2011,BUREAU,17011,61,174.4,52,83,3,8.6,45,81,1,2.9,14,25
7,2011,CALHOUN,17013,6,117.9,83,97,0,0,48,89,0,0,15,33
8,2011,CARROLL,17015,29,188.5,69,76,1,6.5,47,85,0,0,15,33
9,2011,CASS,17017,34,249.2,65,53,4,29.3,44,50,0,0,15,33
10,2011,CHAMPAIGN,17019,1362,677.3,9,9,396,196.9,6,8,9,4.5,8,18
11,2011,CHRISTIAN,17021,79,227,46,59,9,25.9,39,56,0,0,15,33
12,2011,CLARK,17023,52,318.3,56,37,2,12.2,46,74,0,0,15,33
13,2011,CLAY,17025,22,159.2,73,87,3,21.7,45,61,0,0,15,33
14,2011,CLINTON,17027,95,251.6,40,51,16,42.4,33,37,0,0,15,33
15,2011,COLES,17029,308,571.7,21,11,32,59.4,24,28,2,3.7,13,21
16,2011,COOK,17031,36845,709.3,1,8,10884,209.5,1,6,1251,24.1,1,2
17,2011,CRAWFORD,17033,64,323,50,35,5,25.2,43,57,0,0,15,33
18,2011,CUMBERLAND,17035,20,181,75,80,3,27.2,45,54,0,0,15,33
19,2011,DEKALB,17037,515,489.7,18,15,72,68.5,17,25,4,3.8,11,20
20,2011,DE WITT,17039,33,199.3,66,72,1,6,47,87,0,0,15,33
21,2011,DOUGLAS,17041,45,225.2,61,61,4,20,44,64,0,0,15,33
22,2011,DU PAGE,17043,1599,174.4,6,83,241,26.3,10,55,24,2.6,3,27
23,2011,EDGAR,17045,47,253,60,50,0,0,48,89,0,0,15,33
24,2011,EDWARDS,17047,9,133.9,81,92,0,0,48,89,0,0,15,33
25,2011,EFFINGHAM,17049,93,271.6,41,46,8,23.4,40,58,0,0,15,33
26,2011,FAYETTE,17051,51,230.4,57,57,10,45.2,38,36,0,0,15,33
27,2011,FORD,17053,32,227.3,67,58,4,28.4,44,52,0,0,15,33
28,2011,FRANKLIN,17055,125,316,32,38,14,35.4,35,42,0,0,15,33
29,2011,FULTON,17057,76,205,48,67,5,13.5,43,73,1,2.7,14,26
30,2011,GALLATIN,17059,9,161,81,85,1,17.9,47,65,0,0,15,33
31,2011,GREENE,17061,37,266.5,64,48,2,14.4,46,71,0,0,15,33
32,2011,GRUNDY,17063,56,111.9,53,98,4,8,44,82,0,0,15,33
33,2011,HAMILTON,17065,5,59.1,84,101,1,11.8,47,76,0,0,15,33
34,2011,HANCOCK,17067,45,235.6,61,55,1,5.2,47,88,0,0,15,33
35,2011,HARDIN,17069,8,185.2,82,78,3,69.4,45,24,0,0,15,33
36,2011,HENDERSON,17071,15,204.6,77,68,1,13.6,47,72,0,0,15,33
37,2011,HENRY,17073,109,215.9,39,63,11,21.8,37,60,0,0,15,33
38,2011,IROQUOIS,17075,39,131.2,63,94,2,6.7,46,84,0,0,15,33
39,2011,JACKSON,17077,737,1223.9,13,1,130,215.9,16,4,3,5,12,16
40,2011,JASPER,17079,13,134,79,91,2,20.6,46,63,0,0,15,33
41,2011,JEFFERSON,17081,151,388.9,29,23,35,90.1,22,18,0,0,15,33
42,2011,JERSEY,17083,49,213.2,59,65,4,17.4,44,67,0,0,15,33
43,2011,JO DAVIESS,17085,23,101.4,72,99,2,8.8,46,80,0,0,15,33
44,2011,JOHNSON,17087,49,389.4,59,22,9,71.5,39,22,2,15.9,13,5
45,2011,KANE,17089,1499,290.9,8,42,192,37.3,13,40,11,2.1,6,28
46,2011,KANKAKEE,17091,605,533.3,17,13,197,173.6,12,10,1,0.9,14,31
47,2011,KENDALL,17093,184,160.4,26,86,17,14.8,32,70,1,0.9,14,31
48,2011,KNOX,17095,186,351.5,25,28,26,49.1,25,34,3,5.7,12,12
50,2011,LA SALLE,17099,257,225.6,22,60,20,17.6,29,66,1,0.9,14,31
49,2011,LAKE,17097,2286,325,3,33,362,51.5,8,33,28,4,2,19
51,2011,LAWRENCE,17101,39,231.7,63,56,5,29.7,43,49,0,0,15,33
52,2011,LEE,17103,120,333,34,31,11,30.5,37,48,2,5.6,13,13
53,2011,LIVINGSTON,17105,124,318.4,33,36,22,56.5,28,29,1,2.6,14,27
54,2011,LOGAN,17107,111,366.3,38,26,24,79.2,26,20,3,9.9,12,6
61,2011,MACON,17115,793,715.9,12,7,174,157.1,15,11,9,8.1,8,7
62,2011,MACOUPIN,17117,113,236.6,37,54,18,37.7,31,39,0,0,15,33
63,2011,MADISON,17119,1097,407.4,11,20,223,82.8,11,19,5,1.9,10,29
64,2011,MARION,17121,181,459,27,17,40,101.4,21,17,2,5.1,13,15
55,2011,MARSHALL,17123,25,197.8,70,73,0,0,48,89,0,0,15,33
56,2011,MASON,17125,53,361.4,55,27,6,40.9,42,38,0,0,15,33
57,2011,MASSAC,17127,33,213.9,66,64,8,51.9,40,32,0,0,15,33
58,2011,MC DONOUGH,17109,140,429.3,31,18,23,70.5,27,23,1,3.1,14,23
59,2011,MC HENRY,17111,452,146.4,19,88,33,10.7,23,78,4,1.3,11,30
60,2011,MC LEAN,17113,696,410.4,15,19,192,113.2,14,15,10,5.9,7,11
65,2011,MENARD,17129,33,259.7,66,49,4,31.5,44,47,0,0,15,33
66,2011,MERCER,17131,24,146,71,89,2,12.2,46,74,0,0,15,33
67,2011,MONROE,17133,40,121.4,62,96,9,27.3,39,53,1,3,14,24
68,2011,MONTGOMERY,17135,82,272.4,45,45,3,10,45,79,1,3.3,14,22
69,2011,MORGAN,17137,143,402.3,30,21,19,53.5,30,31,2,5.6,13,13
70,2011,MOULTRIE,17139,29,195.3,69,75,1,6.7,47,84,1,6.7,14,9
71,2011,OGLE,17141,117,218.7,35,62,4,7.5,44,83,0,0,15,33
72,2011,PEORIA,17143,1645,882.1,5,4,650,348.5,3,1,5,2.7,10,26
73,2011,PERRY,17145,85,380.3,44,25,16,71.6,33,21,4,17.9,11,3
74,2011,PIATT,17147,34,203.2,65,69,3,17.9,45,65,0,0,15,33
75,2011,PIKE,17149,33,200.9,66,70,1,6.1,47,86,1,6.1,14,10
76,2011,POPE,17151,50,1118.6,58,2,5,111.9,43,16,0,0,15,33
77,2011,PULASKI,17153,31,503.2,68,14,7,113.6,41,14,1,16.2,14,4
78,2011,PUTNAM,17155,15,249.8,77,52,1,16.7,47,69,0,0,15,33
79,2011,RANDOLPH,17157,92,274.8,42,44,12,35.8,36,41,1,3,14,24
80,2011,RICHLAND,17159,23,141.7,72,90,0,0,48,89,0,0,15,33
